# HAT-P-41, Vmag = 11.4, exptime = 190s, Teff = 6500K
# wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
7226.0000,0,2.09,97.077,35104,35203
7240.0000,0,2.09,97.077,34807,34907
7254.0000,0,2.09,97.077,34533,34632
7268.0000,0,2.09,97.077,34204,34303
7282.0000,0,2.09,97.077,33592,33691
7296.0000,0,2.09,97.077,33140,33239
7310.0000,0,2.09,97.077,32987,33086
7324.0000,0,2.09,97.077,32672,32771
7338.0000,0,2.09,97.077,32388,32487
7352.0000,0,2.09,97.077,32130,32229
7366.0000,0,2.09,97.077,31816,31915
7380.0000,0,2.09,97.077,31286,31385
7394.0000,0,2.09,97.077,30693,30792
7408.0000,0,2.09,97.077,30207,30306
7422.0000,0,2.09,97.077,29977,30076
7436.0000,0,2.09,97.077,29785,29884
7450.0000,0,2.09,97.077,29557,29656
7464.0000,0,2.09,97.077,29350,29449
7478.0000,0,2.09,97.077,29063,29162
7492.0000,0,2.09,97.077,28737,28836
7506.0000,0,2.09,97.077,28476,28575
7520.0000,0,2.09,97.077,28156,28255
7534.0000,0,2.09,97.077,27840,27939
7548.0000,0,2.09,97.077,27553,27652
7562.0000,0,2.09,97.077,27142,27241
7576.0000,0,2.09,97.077,26745,26844
7590.0000,0,2.09,97.077,26409,26508
7604.0000,0,2.09,97.077,26037,26136
7618.0000,0,2.09,97.077,25710,25810
7632.0000,0,2.09,97.077,25419,25518
7646.0000,0,2.09,97.077,25010,25109
7660.0000,0,2.09,97.077,24466,24565
7674.0000,0,2.09,97.077,24004,24103
7688.0000,0,2.09,97.077,23808,23907
7702.0000,0,2.09,97.077,23436,23535
7716.0000,0,2.09,97.077,23076,23175
7730.0000,0,2.09,97.077,22767,22866
7744.0000,0,2.09,97.077,22351,22451
7758.0000,0,2.09,97.077,21963,22062
7772.0000,0,2.09,97.077,21646,21746
7786.0000,0,2.09,97.077,21492,21591
7800.0000,0,2.09,97.077,21197,21296
7814.0000,0,2.09,97.077,20823,20922
7828.0000,0,2.09,97.077,20427,20527
7842.0000,0,2.09,97.077,20105,20204
7856.0000,0,2.09,97.077,19855,19954
7870.0000,0,2.09,97.077,19649,19748
7884.0000,0,2.09,97.077,19372,19471
7898.0000,0,2.09,97.077,19049,19148
7912.0000,0,2.09,97.077,18704,18803
7926.0000,0,2.09,97.077,18298,18397
7940.0000,0,2.09,97.077,18032,18131
7954.0000,0,2.09,97.077,17859,17958
7968.0000,0,2.09,97.077,17732,17832
7982.0000,0,2.09,97.077,17494,17593
7996.0000,0,2.09,97.077,17214,17313
8010.0000,0,2.09,97.077,16914,17013
8024.0000,0,2.09,97.077,16643,16742
8038.0000,0,2.09,97.077,16390,16489
8052.0000,0,2.09,97.077,16148,16248
8066.0000,0,2.09,97.077,15966,16065
8080.0000,0,2.09,97.077,15693,15792
8094.0000,0,2.09,97.077,15432,15531
8108.0000,0,2.09,97.077,15285,15385
8122.0000,0,2.09,97.077,15098,15197
8136.0000,0,2.09,97.077,14882,14982
8150.0000,0,2.09,97.077,14635,14734
8164.0000,0,2.09,97.077,14412,14511
8178.0000,0,2.09,97.077,14076,14176
8192.0000,0,2.09,97.077,13722,13821
8206.0000,0,2.09,97.077,13536,13636
8220.0000,0,2.09,97.077,13351,13450
8234.0000,0,2.09,97.077,13160,13259
8248.0000,0,2.09,97.077,13007,13106
8262.0000,0,2.09,97.077,12901,13000
